Category,VerseBy,Verse,VerseRef,IsDisplayed,SubCategory
Giving Loan ,The Holy Prophet [s] said,"""The one from whom his brother Muslim needs borrowing but he does not give him loan, Allah prohibits him entering Paradise on the Day when the righteous will be recompensed.""","Bihar-ul-Anwar, vol. 76, p. 367",0,
Helping the Needy ,The Holy Prophet [s] said,"""Ask (questions from) the learned, speak with the wise, and associate with the poor.""","Tuhaf-ul-'Uqul, p. 34",0,
Helping the Needy ,Imam Amir-ul-Mu'mineen Ali [a] said,"""The cause of the cessation of (one's) wealth is leaving the needy heedless.""","Ghurar-ul-Hikam, vol. 4, p. 190",0,
Helping the Needy ,Imam Amir-ul-Mu'mineen Ali [a] said,"""The Holy Prophet [s] narrated from Allah, the Exalted, on the night of ascent, Who said: 'O' Ahmad, My love is the loving of the poor. Bring the poor nearer to yourself and situate them close to yourself in order that I approach you...""","Al-Hayat, vol. 2, p. 51",0,
Helping the Needy ,Imam Sadiq [a] said,"""Whoever satiates a hungry believer so that the one is satisfied fully, neither a human being among people nor a near-stationed angel nor a divine Messenger knows how great his reward is in the Hereafter except Allah, the Lord of the Worlds."" Then, he added: ""Feeding a hungry Muslim is from among the means of forgiveness."" After that he recited the word of Allah, Almighty and Glorious: ""Or the feeding on a day of hunger, of an orphan near of kin, or to the indigent (down) in the dust."" (Sura Balad, No. 90, verses 14 to 16). ","Al-Kafi, vol. 2, p. 201",0,
Donation & Pleasing The Believers ,The Holy Prophet [s] said,"""When charity (alms) is delivered out of the hand of its owner, it (the thing being given) says five things: 'At first I was perishing and you gave me life; I was insignificant and you made me great; I was an enemy and you turned me into a friend; you used to protect me then but now I will protect you up to the Day of Resurrection'.""","Al-Ithna 'Ashariyyah, p.223",0,
Donation & Pleasing The Believers ,"Imam Kazim, the seventh Imam, [a], said","""He who makes a Muslim believer happy, then, he has initially pleased Allah, secondly the Prophet and thirdly us (Ahlul-Bayt).""","Bihar-ul-Anwar, vol. 74, p. 314",0,
Donation & Pleasing The Believers ,Imam Amir-ul-Mu'mineen [a] said,"Allah, the Glorified, has fixed the livelihood of the destitute in the wealth of the rich. Consequently, whenever a destitute remains hungry it is because some rich persons have denied him (his share).""","Nahjul Balagha, p. 533, saying No. 328",0,
Donation & Pleasing The Believers ,Imam Sadiq [a] said,"""By Allah, he who withholds his wealth from helping a needy believer will never taste the food of Heaven nor drink from the drink sealed there.""","Bihar-ul-Anwar, vol. 75, p. 314",0,
Charity and Alms ,The Holy Prophet [s] said,"""My community will continue to live fairly while they are faithful (to each other), return the deposits (to their owners), and give alms (of their property); but, if they do not fulfil these duties, they will encounter famine and scarcity.""","Wasa'il-ush Shia'ah, vol. 6, p.13",0,
Charity and Alms ,Imam Amir-ul-Mu'mineen Ali [a] said,"""O' children of Adam! Be your own representative in the matter of your property and do with it whatever you like to be done with it after your death.""                                                                 Note:                                                                                                                                                   The meaning is that if a person desires that after his death a portion of his property should be spent on charity, he should not wait for his death but spend it wherever he desires even during his lifetime; for it is possible that after his death his successors may not act upon his will or he may not get an opportunity to write a will.","Nahjul-Balagha, p. 512 Saying No. 254",0,
Charity and Alms ,The Holy Prophet [s] said,"""Give alms and cure your sick persons by it, because alms can surely remove your bad fortunes and ailments; and it causes prolongation of your lifetimes and increases your rewards.""","Kanz-ul-'Ummal, vol. 6, p. 371",0,
Charity and Alms ,It is narrated from the Holy Prophet [s] who said,"It is narrated from the Holy Prophet [s] who said:                                                                 ""When I ascended to the sky, I saw three lines written on the door of Heaven:                  The first line: In the Name of Allah, the Beneficent, the Merciful; I am Allah and there is no god save Me that My Grace preceeds My wrath.                                                                  The second line: In the Name of Allah, the Beneficent the Merciful; charity is repaid ten times and loan eighteen times, and regard for kinship thirty times.                                    The third line: He who understands My Rank and My Lordship should never accuse Me regarding sustenance.""","Al - Ithna 'Ashariyyah, p. 85",0,
Charity and Alms ,"Tawus-ibn-il-Yaman said that he heard when Imam Ali-ibn-il-Husain, Zainul-'Abidin [a] that said the epithets of a believer were five then he asked him [a] about them and he answered","""Piety in private, donating charity at the time of need, patience when misfortunes come, tolerance at the time of anger, truthfulness when there is fear.""","Al-Khisal by Saduq, p. 127",0,
Regard for Kinship,The Holy Prophet [s] said,"""He who wishes that his sustenance be increased for him and his death day be delayed, then he should pay attention to his kinsfolk.""","Bihar-ul-Anwar, vol. 74, p. 89",0,
Regard for Kinship,Imam Ali ibn Musa al-Rida [a] said,"""Wealth does not (excessively) accumulate but by having five traits: extreme miserliness, high expectations, overwhelming greed, breaking off ties with one's kindred, and preferring this world to the next.""","Bihar-ul-Anwar, vol. 73, p. 138",0,
Regard for Kinship,Imam Muhammad Baqir [a] said,"regard for kinship causes (five advantages): 
1.  The purification (and acceptance) of deeds.
2.  Increase in wealth.
3.  Repelling misfortunes.
4.  Easiness in Reckoning, (in the Hereafter).
5.  Prolonging life.","Usul-i-Kafi, vol. 2, p. 150",0,
Regard for Kinship,The Holy Prophet [s] said,"""There are three groups who will not (be allowed to) enter Heaven: drinkers of wine, witches, and renouncers of one's kindred.""","Al-Khisal, p. 179",0,
Kindness to Parents ,The Holy Prophet [s] said,"""The pleasure of Allah lies in the pleasure of one's parents (in the case that it is right), and His wrath lies in their wrath.""","Mustadrak-ul-Wasa'il-ush-Shi'ah, vol. 15, p. 176",0,
Kindness to Parents ,Imam Sadiq [a] said,"""The best deeds are: punctual prayer, kindness to parents, and contributing to the Holy War (against the pagans) in the path of Allah.""","Bihar-ul-Anwar, vol. 74, p. 85",0,
Kindness to Parents ,Imam Sadiq [a] said,"""He who wishes Allah, Almighty and Glorious, to lighten the agonies of death, he should have regard for his kinship, and treat his parents with goodness. Then, when a person does so, Allah will make the agonies of death easy for him and he will not be stricken by poverty in his life at all.""","Safinat-ul-Bihar, vol. 2, p. 553",0,
Kindness to Parents ,Imam Sadiq [a] said,"""He who glares at his parents with wrathful eyes, although they have been unjust to him, Allah will not accept his prayers (unless he repents).""","Usul-i-Kafi, vol. 2, p. 349",0,
Kindness to Parents ,Imam Sadiq [a] said,"""Do treat kindly your parents so that your children do the same to you; and be pious unto the wives of people so that your wives remain pious.""","AI-Kafi, vol. 5, p. 554",0,
Kindness to Parents ,Imam Sadiq [a] said,"""Once a person came to the Prophet [s] and asked him about good treatment to parents. Then, he [s] said 'Treat kindly your mother, treat kindly your mother, and treat kindly your mother; be kind to your father, be kind to your father, and be kind to your father but begin (that kindness) with your mother before your father'.""","Al-Kafi, vol. 2, p. 162",0,
The Rights of Children ,The Holy Prophet [s] told Amir-ul-Mu'mineen Ali [a],"""O' Ali! Allah has cursed the parents who would cause their child to be disobedient of them by cursing them.""","Wasa'il-ush Shiah, vol. 21, p. 290",0,
The Rights of Children ,Imam Amir-ul-Mu'mineen Ali [a] said to one of his followers,"""Do not devote most of your activity to your wife and your (grown up) children, because if your wife and children are lovers of Allah, then He will not leave His lovers uncared for, and if they be enemies of Allah, then why should you worry and keep yourself busy about the enemies of Allah.""                                                                                                        (There are two opposite extremes that can be taken by men in regards to providing for their families. One is the negligence of his responsibility to them and the other, which is addressed here, is the excessive compiling of wealth for them. Either of these two extremes are advised against).","Nahjul-Balagha, p. 536, saying No. 352",0,
The Rights of Children ,Imam Sadiq [a] said,"""Take action in teaching traditions (of Ahlul-Bayt) to your children before the corrupted persons precede in corrupting them.""","Al-Kafi, vol. 6, p. 47",0,
The Rights of Children ,Imam Sadiq [a] said,"""Benediction of a man to his child is his benediction to his parents.""","Man La YahduruhuI Faqih, vol. 3, p. 483",0,
The Rights of Children ,Imam Amir-ul-Mu'mineen Ali [a] said,"""The right of a child upon his father is that he should give him a nice appellation, train him well and teach him the Qur'an (with its rules).""","Nahjul Balagha, Saying 399",0,
The Rights of Children ,The Holy Prophet [s] said,"""Have your children to learn swimming and and shooting.""","AI-Kafi, vol. 6, p. 47",0,
The Rights of Children ,The Holy Prophet [s] said,"""When your children are grown up to seven years, teach them the prayers, and when they are ten years old, seriously admonish them for it (in order that they establish prayers); and separate their sleeping beds from each other.""","Kanz-ul-Ummal, vol. 16, No. 45330",0,
The Rights of Children ,"Imam Sajjad, the fourth Imam, [a] said","""The right of your child is that you know that he has emerged from you and in this world, his right and wrong are attributed to you. You are responsible of his fine teaching and training, guiding him to his Lord, Almighty and Glorious, and, assisting him to obey Him. Therefore, be sure that if you do a favour to your child, you will obtain it; and if you act viciously against him, it will come back to you, too.""","Man La Yahduruhul Faqih, vol. 2, p. 622",0,
The Rights of Children ,The Holy Prophet [s] said,"Honour your children and train them well, you will be forgiven by Him.""","Bihar-ul-Anwar, vol. 104, p. 95",0,
Suckling ,The Holy Prophet [s] said,"""Yes, the reward of a woman during her pregnancy until childbirth, and unto when she weans the child, is like that of a stationed (soldier guarding the Muslims' borders against the attack of pagan enemies) for the sake of Allah. So, if she dies during that, she will have the rank of a martyr.""","Man La Yahduruhul Faqih, vol. 3, p. 561",0,
Suckling ,Imam Amir-ul-Mu'mineen Ali [a] said,"""No milk is greater in prosperity than the mother's milk for the baby to suck from.""","Wasa'il-ush Shi'ah vol. 21, p. 452",0,
Suckling ,The Holy Prophet [s] said,"""When a woman conceives with child she will be as a warrior who fasts during the day and keeps vigil at nights praying, and strives with his soul and wealth on the way of Allah. Then, when she delivers, there will be for her such a great reward with Allah that she does not know how magnificent it is. Thereafter, when she suckles (the child), she will have as much reward as freeing a child from Ismail's descendants for every suck. And, when she brings suckling the child to an end, an angel beside her tells her to begin the action again for she has surely been forgiven.""","Bihar-ul-Anwar, vol. 104, p. 106",0,
Suckling ,The Holy Prophet [s] said,"""There is no milk for a baby better than the milk of its mother.""","Mustadrak-ul-Wasa'il, section 48",0,
"Marriage, a Great Worship ",The Holy Prophet [s] said,"""A two rak'at prayer that a married person establishes is worthier than when a bachelor keeps up prayers at nights and fasts during the days. ","Man La Yahduruhul Faqih, vol. 3, p. 384",0,
"Marriage, a Great Worship ",The Holy Prophet [s] said,"""The sleep of a married person is better with Allah than an unmarried one who fasts during the day and keeps vigil at night, establishing prayers.""","Bihar ul Anwar, vol. 103, p. 221",0,
"Marriage, a Great Worship ",The Holy Prophet [s] said,"""(Mostly) the doers of good of my Ummah are the married ones, while the vicious of them are unmarried.""","Bihar-ul-Anwar, vol. 103, p. 221",0,
"Marriage, a Great Worship ",Imam Sadiq [a] said,"""Once a man came to my father. He [a] asked him whether he had a wife and he answered he had not. Then, my father said that he would not like to possess the world and what it includes but sleep one night without having a wife. Then he [a] added that the two rak'at prayer established by a married man is worthier than that an unmarried man keeps vigil at night praying and fasts during the day. After that, he [a] gave him seven golden coins (Dinar) and told him to marry with that.""","Bihar-ul-Anwar, vol. 103, p. 217",0,
Encouragement for Marriage ,The Holy Prophet [s] said,"""The person who marries gains half of his Faith, then he must fear of Allah for the next remaining half.""","Al-Kafi, vol. 5, p. 328",0,
Encouragement for Marriage ,The Holy Prophet [s] said,"""Most of the people of Hell will be the unmarried (irrespective of male or female).""","Man La Yahduruhul Faqih, vol. 3, p. 384",0,
Encouragement for Marriage ,The Holy Prophet [s] said,"""The most depraved of your dead are the unmarried.""","Al-Tahthib, vol. 7, p. 239",0,
Encouragement for Marriage ,The Holy Prophet [s] said,"""He who wishes to be cleaned and purified when he meets Allah should marry and have a spouse.""","Man La Yahduruhul Faqih, vol. 3, p. 385",0,
Encouragement for Marriage ,The Holy Prophet [s] said,"""Marry, otherwise you will be (counted) among the Christian monks or the brothers of satan.""","Bihar-ul-Anwar, vol. 103, p. 221",0,
Marriage Is the Key to Divine Mercy and a Good Temper ,The Holy Prophet [s] said,"""The doors of Heaven to mercy will be opened in four situations: when it rains, when a child looks kindly at his parent's face, when the door of the Ka'bah is opened, and when marriage (occurs).""","Bihar-ul-Anwar, vol. 103, p. 221",0,
Marriage Is the Key to Divine Mercy and a Good Temper ,The Holy Prophet [s] said,"""Join your children in marriage (boys or girls) because, thereby, Allah renders their tempers good, adds to their sustenance, and increases their sense of honour.""","Bihar-ul-Anwar, vol. 103, p. 222",0,
Marriage Is the Key to Divine Mercy and a Good Temper ,The Holy Prophet [s] said,"""Get married and give your daughters in marriage, because it is from the good fortune of any Muslim man that he gives his (matured) daughter (or sister) in marriage.""","Al-Kafi, vol. 5, p. 328",0,
Marriage Is the Key to Divine Mercy and a Good Temper ,The Holy Prophet [s] said,"""There is nothing to Allah, Almighty and Glorious, more beloved than the house which is developed in Islam by marriage; and there is nothing to Allah, Almighty and Glorious, more abhorent than the house which is ruined in Islam by separation, viz, divorce.""","Al-Kafi, vol. 5, p. 328",0,
Hasten to Marry ,The Holy Prophet [s] said,"""Verily, maidens are like fruits of a tree; when its fruits ripen and are not reaped, sunshine ruins them and the wind scatters them. Maidens are in the same situation. When they comprehend what the women perceive, there is no remedy for them save a husband. If they are not given in marriage, they will not be secured from corruption, because they are human beings, too. (They have the same human instincts and temperament as others).""","Al-Kafi, vol. 5, p. 337",0,
Hasten to Marry ,The Holy Prophet [s] said,"""Any young man who marries at the beginning of his youth, his devil moans and intensively regrets that he has protected two-third of his Faith from Satan.""","Bihar-ul-Anwar, vol. 103, p. 221",0,
Hasten to Marry ,The Holy Prophet [s] said,"""O' young people! If one of you is capable of marrying, then do it, because it is good for your eyes (not to stare at women) and protects your privy part (to remain more pious).","Mustadrak Wasa'il-ush Shi'ah, vol.14, p.153",0,
Hasten to Marry ,,"The Holy Prophet [s] forbade the life of celibacy, and prohibited women from living in chastity and allowing their selves to remain unmarried.""","Mustadrak Wasa'il-ush Shi'ah, vol.14, p. 248",0,
Intercession and Help in Lawful Marriage ,The Holy Prophet (p.h.u.h.) said,"""He who struggles to join two Muslim believers in lawful marriage that they marry under the divine law, Allah will give him in marriage from the black-eyed houri (damsels in Heaven), and there will be for him the reward of one year of worshipping for every step he takes or word he speaks.""","Bihar-ul-Anwar, vol. 103, p. 221",0,
Intercession and Help in Lawful Marriage ,Imam Amir-ul-Mu'mineen Ali [a] said,"""The best mediations is it that you intercede between two persons for lawful marriage so that they both marry under the law of Allah.","AI-Tahthib, vol.7, p. 415 & Al-Kafi, vol. 5, p. 331",0,
Intercession and Help in Lawful Marriage ,Imam al-Kadhim [a] said,"On the Judgement Day, the Day in which there is no shade except the shade of Allah's Mercy, three varieties will avail of the shade of Allah's Throne: the man who caused the marriage of his Muslim brother, or he who served him, or the one who concealed his secrets for his sake.""","Bihar-ul-Anwar, vol. 74, p. 356",0,
Intercession and Help in Lawful Marriage ,Imam Sadiq [a] said,"""He who unites an unmarried person in wedlock will be of those on whom Allah will look at (mercifully) on the Resurrection Day.""","AI-Tahthib, vol. 7, p. 404",0,
Intercession and Help in Lawful Marriage ,Imam al-Kadhim [a] said,"""On the Reckoning Day, Allah has a special shade of Mercy to spread under which none will reside except the prophets, or their vicegerents, or a believer who frees a believing slave, or a believer who pays the debt of another believing one, or a believer who unites in wedlock a believing unmarried one.""","Bihar-ul-Anwar, vol. 74, p. 356",0,
Intercession and Help in Lawful Marriage ,The Holy Prophet [s] said,"""He who tries to join two Muslim believers in lawful marriage so that they marry under the divine law, Allah will join one thousand Houries (damsels of Heaven with black large eyes) in marriage with him each of whom will be in a castle from pearls and rubies.""","Wasa'il ush-Shi'ah, vol. 20, p. 46",0,
Wife and Her Dower ,The Holy Prophet [s] said,"""The bad omen of a woman is her expensive dower and her ill temper.""","Bihar-ul-Anwar, vol. 58, p. 321",0,
Wife and Her Dower ,Imam Abu 'Abdullah said,""" Thieves are of three divisions: 
1.  Those who hinder giving alms;                                                                                                                                                                                                2. Those who consider the withholding of women's dower sum as lawful;
3. Those who take loans and have not decided to pay it back.""","Bihar-ul-Anwar, vol. 96, p. 12",0,
Wife and Her Dower ,Imam Sadiq [a] said,"""Verily, one of the blessings of a woman is the inexpensiveness of her dower, while one of her bad omens is the heaviness of her dower.""","Man La Yahdurulul Faqih, vol. 3, p. 387",0,
Wife and Her Dower ,Imam Amir ul Mu'mineen [a] said,"""Do not make the women's dowers heavy, because it creates enmity.""","Wasa'il-ush Shi'ah, vol. 21, p. 253",0,
Wife and Her Dower ,Imam Sadiq [a] said,"""The worst sins are three:                                                                                                                                                                                                                        Labouring animals as murder, restraining the dower of a woman, and withholding the wage of a worker.""","Bihar-ul-Anwar, vol. 64, p. 268 ",0,
Dower: The Less the Better ,The Holy Prophet [s] said,"""The blessing of that marriage is greater that its expenditure is easier.""","Kanz-ul-'Ummal, vol. 16, p. 299",0,
Dower: The Less the Better ,The Holy Prophet [s] said,"""The excellent women of my Ummah are those that the more their faces are beautiful the less are their dowers.""","Bihar-ul-Anwar, vol. 103, p. 236",0,
Dower: The Less the Better ,The Holy Prophet [s] said,"""Marry even with an iron ring (as dower).""","Kanz-ul-'Ummal, vol. 16, p. 321",0,
Dower: The Less the Better ,The Holy Prophet [s] said,"""He who gives as much as a handful of grains or dates as a dowry (with the acceptance of the partner), surely his marriage is lawful and correct.""","Kanz-ul-'Ummal, vol. 16, p. 321",0,
Dower: The Less the Better ,Imam Sadiq [a] said,"""The Holy Prophet [s] gave Fatimah [a] in marriage to Ali [a] with (the dower of) an armor at the price of thirty Dirhams.""","Wasa'il-ush Shi'ah, vol. 21, p. 251",0,
Marriage with Regard to Faith and Honesty ,"The Holy Prophet [s] with no regard to the class of the one's generation, emphasized and said","""When someone refers to you for marriage and you approve contently, his manner and his religion, then unite with him in wedlock. If you do not do that, you have caused a grand pest and decadence on the earth.""","AI-Tahthib, vol. 7, p. 394",0,
Marriage with Regard to Faith and Honesty ,Imam al-Jawad [a] wrote in a letter,"""Whoever solicits you in marriage and you are convinced of his religion and his honesty, then do unite with him in wedlock.""","AI-Kafi, vol. 5, p. 347,                                                                            Man La Yahdhuruhul-Faqih, vol. 3, p. 393; AI-Tahthib, vol. 7, p. 394",0,
Marriage with Regard to Faith and Honesty ,"Once a man told Imam Husayn [a] that he had a daughter and asked whom he [a] would advise him to give her to in marriage, and he said","""Give her in marriage to someone who (has Faith and) fears Allah, Almighty and Glorious, because he will love and respect her, and if he becomes angry with her, he will not hurt her.""","AI-Mustatraf, vol. 2, p. 218",0,
Marriage with Regard to Faith and Honesty ,The Holy Prophet [s] said,"""He who gives his daughter in marriage to an ungodly man has indeed broken off her connection with her kindred.""","AI-Muhajjat-ul-Bayda, vol. 3, p. 94",0,
Man's Intention in Marriage ,The Holy Prophet [s] said,"""He who marries a woman only for her beauty (regardless of her Faith), he will not see (gain) what he likes; and he who marries a woman only for her wealth, Allah will leave him with that wealth only. Therefore, it is to you that you look for a religious wife.""","Al-Tahthib, vol. 7, p.399 ",0,
Man's Intention in Marriage ,Imam Sadiq [a] said,"""He who marries a woman for the hope of her wealth, Allah leaves him with only that wealth.""","AI-Kafi, vol. 5, p. 333",0,
Man's Intention in Marriage ,The Holy Prophet [s] said,"He who marries a woman for her wealth, Allah will leave him only with that; and he who marries a woman (only) for her beauty, he will see in her what he does not like; but he who marries a woman for her religion, Allah will gather those merits for him.""","AI-Tahthib, vol. 7, p. 399",0,
Man's Intention in Marriage ,The Holy Prophet [s] said,"""He who marries a woman (only) for her beauty, Allah wiil assign the beauty of that woman as a harm and trouble for him.""","Wasa'il-ush Shi'ah, vol. 20, p. 53",0,
Man's Intention in Marriage ,Imam Sajjad [a] said,"""He who marries for the sake of Allah, Almighty and Glorious, and for the union of kindred, Allah will grant him the crown of glory and honour.""","Man La Yahduruhul Faqih, vol. 3, p. 385",0,
Man's Intention in Marriage ,The Holy Prophet [s] said,"""Do not marry a woman only for her beauty since her beauty may cause her impiety; nor for her wealth because her wealth may cause her disobedience; but marry a religious woman for her Faith.""","Al-Muhajjat-ul-Bayda, vol. 3, p. 85",0,
Earning a Livelihood ,The Holy Prophet [s] said,"""He who is regardless of those whom he must feed, is cursed and again very much cursed.""","Man La Yahduruhul Faqih, vol. 3, p. 168",0,
Earning a Livelihood ,The Holy Prophet [s] said,"""Any man who is patient with the wife who is bad tempered, and seeks that patience from Allah, He bestows him the reward given to the thankful ones.""","Man La Yahduruhul Faqih, vol. 4, p. 16",0,
Earning a Livelihood ,Imam Sadiq [a] said,"""He who tolerates the task of earning money for (the comfort of) his wife, is like the one who fights in the way of Allah.","Man La Yahduruhul Faqih, vol. 3, p. 168      Al-Kafi, vol. 5, p. 88",0,
Earning a Livelihood ,Imam Sadiq [a] said,"""This (sin) is enough for a man that he leaves those dependant on him for sustenance without regard.""","Man La Yahduruhul Faqih, vol. 3, p. 168",0,
Earning a Livelihood ,Imam Sadiq [a] said,"""Happy is a man who is the administrator of his wife and children himself.""","Man La Yahduruhul Faqih, vol. 3, p. 168",0,
Wives and Good Treatment to Their Husbands ,Allah (s.w.t.) said,"""And among His Signs is this, that He created for you mates from among yourselves, that ye may dwell in tranquility with them, and He has put love and mercy between your (hearts): verily in that are Signs for those who reflect.""","Sura al-Room, No. 30, Verse 21",0,
Wives and Good Treatment to Their Husbands ,"When the Holy Prophet (p.b.u.k.) received some information from 'Umm Salamah about 'Uthman ibn Maz'un, he set out towards his followers and, (addressing some of them), said","""Do you keep away from (your) wives? Surely, I go to women, I eat food during the day, and I sleep at night. So, he who turns away from my way of life is not of me.""","Bihar-ul-Anwar, vol. 93, p. 73",0,
Wives and Good Treatment to Their Husbands ,Imam Sadiq [a] said,"""He who abandons marriage for the fear of the expenses imposed on him, mistrusts Allah, Almighty and Glorious.""","Man La Yahduruhul Faqih, vol. 3, p. 385",0,
Wives and Good Treatment to Their Husbands ,"It is narrated from Imam Rida [a] that Imam Sadiq [a], in answer to a woman who wanted not to marry in order to gain a great virtue, said","""Do not do that, because if it was a virtue, Fatimah (May God bless her and give her peace) would be more competent than you, and, surely, there is none (of women) who can excel her in any virtue.""","Bihar-ul-Anwar, vol. 103, p. 219",0,
Wives and Good Treatment to Their Husbands ,"Imam Sadiq [a] is narrated to have said that three women came to the Holy Prophet [s] and said that their husbands avoided eating meat or using perfume or approaching their wives. Then, (protesting their behaviour), he [s] hastened to come out and went up in the pulpit and, after praising Allah said","""What has happened to some groups of my followers that they do not eat meat, do not utilize perfume, and avoid approaching their wives?","AI-Kafi, vol. 5, p. 496",0,
Wives and Good Treatment to Their Husbands ,"Imam Sadiq [a] said that when Uthman ibn Maz'un's wife announced to the Prophet [s] that her husband was always busy fasting and praying day and night without paying attention to his life and wife, the Prophet [s] went unto his house and found him praying. When 'Uthman finished his prayer, the Messenger of Allah [s] said","""O' 'Uthman, Allah has not sent me for monkery but appointed me for a fluent, easy religion (which protects the rights of the body and soul). I fast, keep up prayers, and associate with my family. Then, he who likes my way and my creed, must follow my way of life, my Sunnah; and, verily, marriage is of my Sunnah.""","AI-Kafi, vol. 5, p.494",0,
Honour Your Wives ,Imam Rida [a] narrated from his fathers from Imam Amir ul Mu'mineen Ali [a] from the Holy Prophet [s] who said,"""Woe to the woman who makes her husband angry, and happy is the woman whose husband is pleasantly contented with her.""","Bihar-ul-Anwar, vol. 8, p. 310",0,
Honour Your Wives ,The Holy Prophet [s] said,"""He who has two wives and does not treat justly in dividing his self and his wealth between them, he will be raised on the Resurrection Day while he is chained in punishment and half of his body is not straight until he enters Hell.""","Bihar-ul-Anwar, vol. 7, p. 214",0,
Honour Your Wives ,Imam Baqir [a] said,"""He who takes a woman (marries) should certainly respect her, because the wife of anyone of you is a means of your pleasure, so the one who marries a woman should not spoil or disgrace her (by disregarding her respectable rights).""","Bihar-ul-Anwar, vol. 103, p. 224",0,
Honour Your Wives ,Imam Amir ul Mu'mineen Ali [a] said,"""In any condition conciliate the wives, and talk with them warmly and through kind words, thereby, they may change their actions into good ones.""","Bihar-ul-Anwar, vol. 103, p. 223",0,
Honour Your Wives ,Imam Musa ibn Ja'far [a] narrated from his father [a] from the Holy Prophet [s] who said,"""However much the Faith of a man increases, his regard for women increases.""","Bihar-ul-Anwar, vol. 103, p. 228",0,
Honour Your Wives ,The Holy Prophet [s] said,"""From the things of the world, I regard women and perfume highly, but prayer is the light of my eyes, (the love and worship of Allah).","Al-Khisal, vol. 1, p. 183                     Bihar-ul-Anwar, vol. 76 p. 141",0,
Honour Your Wives ,Imam Amir ul Mu'mineen Ali [a] said,"""The worst man is he who restricts his household.""",Nur-ul-Absar Shablanjy,0,
Wife And Pleasing Her Husband ,Imam Baqir [a] said,"""No intercessor for a woman, on the Reckoning Day, is more effective with Allah than the consent of her husband.""","Bihar-ul-Anwar, vol. 81, p. 345",0,
Wife And Pleasing Her Husband ,Imam Abi-l-Hassan-ir-Rida [a] narrates from Imam Amir ul Mu'mineen Ali [a] who said,"The best women among you are those who have five qualities."" Amir ul Mu'mineen [a] was requested what those five were when he said 
1.  She is easy-going, obedient, humble, and economical to her husband.
2.  She is good tempered to him.
3.  She is cooperative and helpful to him in difficulties.
4.  Whenever her husband is angry or depressed, she does not rest until she finds him happy and pleased.
5.  When her husband is absent from her, she protects his belongings in his absence. Such a woman is an agent of the agents of Allah and the agent of Allah will not be disappointed, (she gains her correct hopes).""","Al-Kafi, vol. 5, p. 324",0,
Wife And Pleasing Her Husband ,Imam Sadiq [a] said,"""Any woman who spends the night while her husband is rightfully angry with her, her prayer is not accepted from her until he becomes pleased with her.""","AI-Kafi, vol. 5, p. 507",0,
Wife And Pleasing Her Husband ,The Holy Prophet [s] said,"""The right of a man upon (his) wife is: lighting the light, preparing food, receiving him at the threshold of the door of the house with pleasant conversation, and avoid refusing to offer herself to him except for the time there is an excuse.""","Makarim-ul-Akhlaq, vol. 2, p. 246",0,
Wife And Pleasing Her Husband ,The Holy Prophet [s] said,"""A woman has not performed the right of Allah, Almighty and Glorious unless she performs the right of her husband.""","Mustadrak-ul-Wasa'il-ush Shi'ah, vol. 14, p. 257",0,
Wife And Pleasing Her Husband ,Imam Baqir [a] said,"""Once a woman came to the Prophet [s] and said: ""O' Messenger of Allah! What is the right of a husband upon his wife?"" Then, he answered her: ""That she obeys him and does not offend him!""","Wasa'il-ush Shi'ah, vol. 10, p. 527",0,
Admirable Qualities of Wives ,The Holy Prophet [s] said,"""There is no (believing) woman who gives her husband a glass of water but it will be rewarded her better than the worship of one year during which she fasts on days and keeps vigil during the nights.""","Wasa'il-ush Shi'ah, vol. 20, p. 172",0,
Admirable Qualities of Wives ,The Holy Prophet [s] said,"""It is to a woman to perfume herself with her best fragrances, wear her best clothes, and ornament herself with her best ornamentation in order to present herself available to her husband whether it is day or night.""","AI-Kafi, vol. 5, p. 508",0,
Admirable Qualities of Wives ,Imam Amir ul Mu'mineen Ali [a] said,"""The Jihad (fighting in the way of Allah) of a woman is to afford pleasant company to her husband.""","Nahjul-Balagha, saying No. 494",0,
Admirable Qualities of Wives ,The Holy Prophet [s] said,"""Allah, Almighty and Glorious, has said: 'Had I willed to gather the good of this world and the next for a Muslim believer, I would set for the one a humble heart, a thankful tongue, and a body patient in afflictions. (To a man I would give) a pious wife whom when he looks at he is delighted and who (she) protects herself and his properties for him when he is away from her.""","Usul-i-Kafi, vol. 5, p. 327",0,
Admirable Qualities of Wives ,Imam Sadiq [a] said,"""Intensively is cursed (by Allah) the woman who hurts her husband and makes him grievous, but intensively is prosperous the woman who respects her husband and does not hurt him while she does obey him in all conditions.""","Bihar-uI-Anwar, vol. 103, p. 252",0,
Admirable Qualities of Wives ,The Holy Prophet [s] said,"""Verily your best woman is she who is fertile, affectionate, keeps secrets, and is pious. She obeys her husband and is honourably dear among her kinsmen. When she is with her husband, she reveals her ornaments but conceals it from anyone other than him. She hearkens to his speech and obeys his commands. When she is in private, she dresses herself beautifully and is eager to offer him generously whatever he wants from her. She is usually ornamented (for him) and is not plain as men are.""","Bihar-ul-Anwar, vol. 103, p. 235",0,
Admirable Qualities of Wives ,The Holy Prophet [s] said,"""From the prosperity of a Muslim man is that he has a pious wife, a large (comfortable) house, a pleasant mount, and a righteous child.""","Bihar-ul-Anwar, vol. 104, p. 98",0,
